neighborhood,neighborhood_id,police_force_incidents_count
Armatage,1,36
Audubon Park,10,165
Bancroft,23,99
Beltrami,11,118
Bottineau,12,96
Bryant,24,84
Bryn Mawr,31,37
Camden Industrial,0,27
Cedar - Isles - Dean,33,26
Cedar Riverside,49,326
Central,25,490
Cleveland,41,315
Columbia,13,59
Como,50,186
Cooper,56,61
Corcoran,26,221
Diamond Lake,61,61
Downtown East,72,190
Downtown West,73,7680
ECCO,35,72
East Harriet,2,59
East Isles,34,105
East Phillips,78,636
Elliot Park,74,465
Ericsson,62,53
Field,63,48
Folwell,42,889
Fulton,3,62
Hale,64,36
Harrison,82,364
Hawthorne,83,1301
Hiawatha,57,98
Holland,14,314
Howe,58,129
Humboldt Indust Area,43,13
Jordan,84,1428
Keewaydin,65,38
Kenny,4,14
Kenwood,36,36
King Field,5,191
Lind - Bohanon,44,249
Linden Hills,6,60
Logan Park,15,111
Longfellow,59,533
Loring Park,75,531
Lowry Hill,37,103
Lowry Hill East,38,711
Lyndale,27,427
Lynnhurst,7,50
Marcy Holmes,51,590
Marshall Terrace,16,62
Mckinley,45,439
Mid City Industrial Ar,52,61
Midtown Phillips,79,496
Minnehaha,66,61
Morris Park,67,46
Near - North,85,1278
Nicollet Is/East Bank,53,151
North Loop,76,534
Northeast Park,17,104
Northrop,68,73
Page,69,27
Phillips West,80,481
Powderhorn Park,28,423
Prospect Park - East River Road,54,179
Regina,70,69
Seward,60,235
Sheridan,18,120
Shingle Creek,46,107
South Uptown,32,216
St Anthony East,19,142
St Anthony West,20,133
Standish,29,148
Steven's Square - Loring Heights,77,312
Sumner - Glenwood,86,139
Tangletown,8,88
University,55,95
Ventura Village,81,797
Victory,47,208
Waite Park,21,119
Webber - Camden,48,485
Wenonah,71,129
West Calhoun,39,44
Whittier,30,690
Willard - Hay,87,985
Windom,9,106
Windom Park,22,139
